,Word,Frequency,percent
64,even,58,1.8023617153511498
65,debate,57,1.7712865133623368
66,day,56,1.740211311373524
67,way,56,1.740211311373524
68,crowd,56,1.740211311373524
69,soon,55,1.709136109384711
70,ohio,54,1.6780609073958979
71,florida,54,1.6780609073958979
72,cant,54,1.6780609073958979
73,morning,54,1.6780609073958979
74,really,53,1.6469857054070853
75,dishonest,51,1.5848353014294592
76,look,50,1.5537600994406464
77,rally,49,1.5226848974518334
79,hampshire,48,1.4916096954630205
78,failing,48,1.4916096954630205
80,polls,47,1.4605344934742077
81,american,47,1.4605344934742077
82,years,46,1.4294592914853945
83,got,46,1.4294592914853945
84,total,46,1.4294592914853945
85,south,46,1.4294592914853945
86,york,45,1.3983840894965818
89,state,44,1.3673088875077688
87,says,44,1.3673088875077688
88,made,44,1.3673088875077688
90,national,43,1.3362336855189558
91,nice,43,1.3362336855189558
92,news,43,1.3362336855189558
93,video,43,1.3362336855189558
97,jeb,42,1.305158483530143
96,marco,42,1.305158483530143
95,beat,42,1.305158483530143
94,done,42,1.305158483530143
98,say,41,1.2740832815413299
99,ever,41,1.2740832815413299
100,candidate,41,1.2740832815413299
101,sanders,41,1.2740832815413299
102,wants,41,1.2740832815413299
103,must,41,1.2740832815413299
104,another,41,1.2740832815413299
105,presidential,40,1.2430080795525171
106,senator,40,1.2430080795525171
107,sad,40,1.2430080795525171
108,wonderful,40,1.2430080795525171
109,believe,40,1.2430080795525171
112,know,39,1.2119328775637042
111,supporters,39,1.2119328775637042
110,endorsement,39,1.2119328775637042
113,everyone,38,1.1808576755748912
114,money,38,1.1808576755748912
115,nothing,37,1.1497824735860782
116,run,37,1.1497824735860782
117,take,36,1.1187072715972655
118,doesnt,36,1.1187072715972655
119,lyin,36,1.1187072715972655
120,kasich,36,1.1187072715972655
121,failed,35,1.0876320696084525
122,special,35,1.0876320696084525
123,wall,35,1.0876320696084525
130,ads,34,1.0565568676196395
128,record,34,1.0565568676196395
129,indiana,34,1.0565568676196395
126,isis,34,1.0565568676196395
127,party,34,1.0565568676196395
125,million,34,1.0565568676196395
124,together,34,1.0565568676196395
131,little,33,1.0254816656308265
132,right,33,1.0254816656308265
133,safe,33,1.0254816656308265
134,forward,33,1.0254816656308265
135,women,33,1.0254816656308265
136,better,33,1.0254816656308265
142,watching,32,0.9944064636420136
147,w,32,0.9944064636420136
146,stop,32,0.9944064636420136
145,voters,32,0.9944064636420136
144,think,32,0.9944064636420136
143,pennsylvania,32,0.9944064636420136
141,nevada,32,0.9944064636420136
140,two,32,0.9944064636420136
139,well,32,0.9944064636420136
138,first,32,0.9944064636420136
137,movement,32,0.9944064636420136
148,tickets,31,0.9633312616532007
149,deal,31,0.9633312616532007
150,keep,31,0.9633312616532007
151,looking,31,0.9633312616532007
152,virginia,31,0.9633312616532007
153,massive,31,0.9633312616532007
154,ratings,31,0.9633312616532007
155,fox,31,0.9633312616532007
159,interview,30,0.9322560596643878
162,guy,30,0.9322560596643878
160,phony,30,0.9322560596643878
161,gop,30,0.9322560596643878
158,story,30,0.9322560596643878
157,didnt,30,0.9322560596643878
156,lost,30,0.9322560596643878
163,lets,29,0.9011808576755749
164,votes,29,0.9011808576755749
165,put,29,0.9011808576755749
166,weak,29,0.9011808576755749
167,millions,29,0.9011808576755749
168,im,29,0.9011808576755749
169,bush,29,0.9011808576755749
175,remember,28,0.870105655686762
180,primary,28,0.870105655686762
179,far,28,0.870105655686762
178,lightweight,28,0.870105655686762
176,best,28,0.870105655686762
177,ad,28,0.870105655686762
174,need,28,0.870105655686762
173,thanks,28,0.870105655686762
172,true,28,0.870105655686762
171,getting,28,0.870105655686762
170,honor,28,0.870105655686762
186,person,27,0.8390304536979489
188,smart,27,0.8390304536979489
187,convention,27,0.8390304536979489
185,arizona,27,0.8390304536979489
184,let,27,0.8390304536979489
183,emails,27,0.8390304536979489
182,shows,27,0.8390304536979489
181,false,27,0.8390304536979489
195,states,26,0.8079552517091362
