text,is_retweet,time,text_cleaned,slogans,love trumps hate,stronger together,hillary for america,i'm with her,maga,make america great again,america first,Cliton,Trump
"Wow, @CNN ratings are up 75% because it's ""all Trump, all the time."" The networks are making a fortune off of me! MAKE AMERICA GREAT AGAIN!",False,2016-03-19T15:50:59,"['wow', 'ratings', 'are', 'up', '75', 'because', 'its', 'all', 'trump', 'all', 'the', 'time', 'the', 'networks', 'are', 'making', 'a', 'fortune', 'off', 'of', 'me', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
MAKE AMERICA GREAT AGAIN!,False,2016-03-17T20:30:08,"['make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"Rubio is weak on illegal immigration, with the worst voting record in the U.S. Senate in many years. He will never MAKE AMERICA GREAT AGAIN!",False,2016-03-15T04:21:20,"['rubio', 'is', 'weak', 'on', 'illegal', 'immigration', 'with', 'the', 'worst', 'voting', 'record', 'in', 'the', 'us', 'senate', 'in', 'many', 'years', 'he', 'will', 'never', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
MAKE AMERICA GREAT AGAIN!,False,2016-03-12T14:55:15,"['make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
MAKE AMERICA GREAT AGAIN!,False,2016-03-08T15:23:49,"['make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
I am at Trump National Doral-best resort in U.S. Rory and Adam Scott are doing great! Watch on NBC at 3:00 P.M.  MAKE AMERICA GREAT AGAIN!,False,2016-03-06T18:15:29,"['i', 'am', 'at', 'trump', 'national', 'doralbest', 'resort', 'in', 'us', 'rory', 'and', 'adam', 'scott', 'are', 'doing', 'great', 'watch', 'on', 'nbc', 'at', '300', 'pm', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"Great time last night in Louisiana. Big and energetic crowd. Go out and vote now, polls open. MAKE AMERICA GREAT AGAIN!",False,2016-03-05T13:14:05,"['great', 'time', 'last', 'night', 'in', 'louisiana', 'big', 'and', 'energetic', 'crowd', 'go', 'out', 'and', 'vote', 'now', 'polls', 'open', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"Thank you Cadillac, Michigan! #VoteTrumpMI on 3/8/2016. We will MAKE AMERICA GREAT AGAIN!
https://t.co/8RDmQCbHce https://t.co/94mFPx0EgH",False,2016-03-04T21:03:34,"['thank', 'you', 'cadillac', 'michigan', 'on', '382016', 'we', 'will', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"""@blt21muttrades: People are just mad that you're doing so good so they are gonna do they're best to stop you. Not gonna happen #MAGA""",False,2016-03-03T14:27:12,"['people', 'are', 'just', 'mad', 'that', 'youre', 'doing', 'so', 'good', 'so', 'they', 'are', 'gonna', 'do', 'theyre', 'best', 'to', 'stop', 'you', 'not', 'gonna', 'happen']",['maga'],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
MAKE AMERICA GREAT AGAIN!,False,2016-03-01T19:52:30,"['make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"THANK YOU ALABAMA! 32,000 supporters tonight. Get out &amp; VOTE on Tuesday! WE WILL MAKE AMERICA GREAT AGAIN! https://t.co/rOkldN7dat",False,2016-02-29T00:25:14,"['thank', 'you', 'alabama', '32000', 'supporters', 'tonight', 'get', 'out', 'amp', 'vote', 'on', 'tuesday', 'we', 'will', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"""@EmaGabi23: Rubio was kicking back on his $80k boat he bought with lobbyist money and claimed it was from book sale profit lol""",False,2016-02-28T17:57:36,"['rubio', 'was', 'kicking', 'back', 'on', 'his', '80k', 'boat', 'he', 'bought', 'with', 'lobbyist', 'money', 'and', 'claimed', 'it', 'was', 'from', 'book', 'sale', 'profit', 'lol']",['maga'],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
Thank you! WE WILL MAKE AMERICA GREAT AGAIN! #Trump2016 https://t.co/aht7wYVIUg,False,2016-02-26T05:53:13,"['thank', 'you', 'we', 'will', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"LETS MAKE AMERICA GREAT AGAIN!
Schedule &amp; tickets: https://t.co/nU39QHzxxX https://t.co/GUQo1TMsMo",False,2016-02-25T16:41:37,"['lets', 'make', 'america', 'great', 'again', 'schedule', 'amp', 'tickets']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"""@Stevekwebb: @realDonaldTrump Love it! @tedcruz is done. We need someone who is proven. @realDonaldTrump will make America Great Again""",False,2016-02-25T02:25:50,"['love', 'it', 'is', 'done', 'we', 'need', 'someone', 'who', 'is', 'proven', 'will', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
MAKE AMERICA GREAT AGAIN! https://t.co/IVSR0hmh5g,False,2016-02-24T18:31:36,"['make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
GO VOTE FROM NOW TO 8:30 P.M. NEVADA. I WILL BE AT VARIOUS CAUCUS SITES. MAKE AMERICA GREAT AGAIN!,False,2016-02-24T01:52:32,"['go', 'vote', 'from', 'now', 'to', '830', 'pm', 'nevada', 'i', 'will', 'be', 'at', 'various', 'caucus', 'sites', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"""@CarrollKuykend2: This veteran just voted @realDonaldTrump in the SC primary, let's make America great again!""",False,2016-02-20T21:51:11,"['this', 'veteran', 'just', 'voted', 'in', 'the', 'sc', 'primary', 'lets', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"South Carolina voters have the future of our country in their hands. Vote now (today), and MAKE AMERICA GREAT AGAIN!",False,2016-02-20T17:39:24,"['south', 'carolina', 'voters', 'have', 'the', 'future', 'of', 'our', 'country', 'in', 'their', 'hands', 'vote', 'now', 'today', 'and', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
