,Word,Frequency,percent
176,los,28,0.8679479231246126
177,dangerous,28,0.8679479231246126
178,lot,28,0.8679479231246126
179,nothing,27,0.8369497830130193
180,national,27,0.8369497830130193
181,thanks,27,0.8369497830130193
182,future,27,0.8369497830130193
183,values,27,0.8369497830130193
184,economic,27,0.8369497830130193
185,year,27,0.8369497830130193
186,actually,27,0.8369497830130193
187,act,27,0.8369497830130193
188,really,26,0.805951642901426
189,rt,26,0.805951642901426
190,office,26,0.805951642901426
191,long,26,0.805951642901426
192,party,26,0.805951642901426
193,nation,26,0.805951642901426
194,paid,26,0.805951642901426
195,security,26,0.805951642901426
196,el,26,0.805951642901426
197,agree,25,0.7749535027898327
198,gets,25,0.7749535027898327
199,days,25,0.7749535027898327
200,war,25,0.7749535027898327
201,climate,25,0.7749535027898327
202,become,25,0.7749535027898327
203,choice,25,0.7749535027898327
204,student,25,0.7749535027898327
205,done,25,0.7749535027898327
206,womens,25,0.7749535027898327
207,takes,24,0.7439553626782394
208,part,24,0.7439553626782394
209,team,24,0.7439553626782394
210,chip,24,0.7439553626782394
211,small,24,0.7439553626782394
212,needs,24,0.7439553626782394
213,share,24,0.7439553626782394
214,workers,24,0.7439553626782394
215,serve,24,0.7439553626782394
216,york,24,0.7439553626782394
217,immigrants,24,0.7439553626782394
218,heart,24,0.7439553626782394
219,pence,24,0.7439553626782394
220,kind,23,0.7129572225666461
221,young,23,0.7129572225666461
222,chance,23,0.7129572225666461
223,two,23,0.7129572225666461
224,money,23,0.7129572225666461
225,returns,23,0.7129572225666461
226,gold,23,0.7129572225666461
227,happy,23,0.7129572225666461
228,also,23,0.7129572225666461
229,businesses,23,0.7129572225666461
230,afford,23,0.7129572225666461
231,progress,23,0.7129572225666461
232,speech,23,0.7129572225666461
233,para,23,0.7129572225666461
234,important,22,0.6819590824550528
235,since,22,0.6819590824550528
236,un,22,0.6819590824550528
237,born,22,0.6819590824550528
238,makes,22,0.6819590824550528
239,must,22,0.6819590824550528
240,public,22,0.6819590824550528
241,nominee,22,0.6819590824550528
242,trail,22,0.6819590824550528
243,strong,22,0.6819590824550528
244,zika,22,0.6819590824550528
245,nomination,22,0.6819590824550528
246,debate,21,0.6509609423434595
247,clear,21,0.6509609423434595
248,ive,21,0.6509609423434595
249,left,21,0.6509609423434595
250,safe,21,0.6509609423434595
251,children,21,0.6509609423434595
252,imagine,21,0.6509609423434595
253,qualified,21,0.6509609423434595
254,shouldnt,21,0.6509609423434595
255,leave,21,0.6509609423434595
256,cannot,21,0.6509609423434595
257,enough,21,0.6509609423434595
258,immigration,21,0.6509609423434595
259,protect,21,0.6509609423434595
260,1,21,0.6509609423434595
261,place,21,0.6509609423434595
262,mike,21,0.6509609423434595
263,plans,20,0.6199628022318662
264,3,20,0.6199628022318662
265,another,20,0.6199628022318662
266,across,20,0.6199628022318662
267,arent,20,0.6199628022318662
268,stage,20,0.6199628022318662
269,presidency,20,0.6199628022318662
270,text,20,0.6199628022318662
271,47246,20,0.6199628022318662
272,show,20,0.6199628022318662
273,veterans,20,0.6199628022318662
274,respect,20,0.6199628022318662
275,getting,20,0.6199628022318662
276,americas,20,0.6199628022318662
277,something,20,0.6199628022318662
278,4,20,0.6199628022318662
279,alone,20,0.6199628022318662
280,reform,20,0.6199628022318662
281,mom,20,0.6199628022318662
282,fear,20,0.6199628022318662
283,community,20,0.6199628022318662
284,muslims,20,0.6199628022318662
285,knows,20,0.6199628022318662
286,city,20,0.6199628022318662
287,state,20,0.6199628022318662
288,cut,20,0.6199628022318662
289,leader,19,0.5889646621202729
290,called,19,0.5889646621202729
291,whos,19,0.5889646621202729
292,looks,19,0.5889646621202729
293,policies,19,0.5889646621202729
294,parents,19,0.5889646621202729
295,fix,19,0.5889646621202729
296,find,19,0.5889646621202729
297,wage,19,0.5889646621202729
298,orlando,19,0.5889646621202729
299,able,19,0.5889646621202729
300,november,19,0.5889646621202729
301,friends,19,0.5889646621202729
302,face,19,0.5889646621202729
303,tune,19,0.5889646621202729
304,spent,19,0.5889646621202729
305,crisis,19,0.5889646621202729
306,university,19,0.5889646621202729
307,convention,19,0.5889646621202729
308,vp,19,0.5889646621202729
309,couldnt,18,0.5579665220086795
310,reality,18,0.5579665220086795
311,talk,18,0.5579665220086795
312,nuclear,18,0.5579665220086795
313,fact,18,0.5579665220086795
314,idea,18,0.5579665220086795
315,law,18,0.5579665220086795
316,took,18,0.5579665220086795
317,save,18,0.5579665220086795
318,raise,18,0.5579665220086795
319,youve,18,0.5579665220086795
320,run,18,0.5579665220086795
321,african,18,0.5579665220086795
322,around,18,0.5579665220086795
323,education,18,0.5579665220086795
324,means,18,0.5579665220086795
325,unfit,18,0.5579665220086795
326,story,18,0.5579665220086795
327,judge,18,0.5579665220086795
328,por,18,0.5579665220086795
329,attack,18,0.5579665220086795
330,es,18,0.5579665220086795
331,taxes,17,0.5269683818970862
332,meet,17,0.5269683818970862
333,heard,17,0.5269683818970862
334,isis,17,0.5269683818970862
335,students,17,0.5269683818970862
336,message,17,0.5269683818970862
337,theyre,17,0.5269683818970862
338,police,17,0.5269683818970862
339,less,17,0.5269683818970862
340,seen,17,0.5269683818970862
341,read,17,0.5269683818970862
342,elect,17,0.5269683818970862
343,tim,17,0.5269683818970862
344,senate,17,0.5269683818970862
